Crop Type,Crop Season,Farm Size (acres),Soil Type,Region,Labor Cost Per Day,Labor Availability,Water Availability,Pesticide Type,Fertilizer Type,Fertilizers Used,Land Preparation,Seeds,Fertilizers,Pesticides,Irrigation,Labor,Machinery,Transportation,Miscellaneous,Total Cost
Sugarcane,Monsoon,2.34,Clay,Punjab,524,Moderate,Low,Organic,Organic,"Zinc Sulphate, Bone Meal, Green Manure, Bio-fertilizers",8431,3543,8515,2808,6582,17166,6112,2778,1975,57910
Rice,Transitional,3.04,Silt,Punjab,351,Low,Low,Chemical,Organic,"Green Manure, Bone Meal",9272,7232,13960,6080,9096,10670,6980,4031,2052,69373
Wheat,Transitional,6.34,Silt,Bihar,361,Low,High,Chemical,Organic,Zinc Sulphate,24181,12135,24168,12680,19305,25176,22716,6416,4546,151323
Sugarcane,Harvest,0.87,Silt,Kerala,566,Moderate,High,Chemical,Synthetic,"Compost, Bio-fertilizers, Phosphate",3203,2058,3156,1740,2874,4924,2900,1131,710,22696
Maize,Zaid,6.46,Clay,Tamil Nadu,537,Moderate,Low,Chemical,Organic,Potash,16634,10853,27003,12920,24535,45097,19625,5879,4638,167184
Wheat,Harvest,3.91,Peat,Uttar Pradesh,390,Low,Moderate,Organic,Synthetic,Zinc Sulphate,11898,7640,14150,4692,10350,18299,14307,5591,3382,90309
Soybean,Transitional,1.84,Peat,Kerala,554,High,Low,Chemical,Synthetic,"DAP, Urea, Gypsum, Vermicompost",7314,3376,6755,3680,5145,10194,5590,2622,1671,46347
Wheat,Rainy,8.83,Sandy,Uttar Pradesh,348,Low,High,Chemical,Organic,"Urea, Gypsum",23744,20124,34878,17660,33572,39947,21157,8318,7329,206729
Wheat,Summer,3.0,Clay,Haryana,573,High,Low,Organic,Synthetic,Urea,10803,5394,13137,3600,9012,20628,7515,3012,2343,75444
Wheat,Transitional,7.04,Clay,Gujarat,281,High,High,Chemical,Synthetic,"Compost, NPK, Calcium Nitrate",20817,12468,26668,14080,22275,27695,23570,6561,5217,159351
Soybean,Autumn,3.26,Loam,Odisha,512,Low,High,Organic,Organic,Potash,11084,7133,12082,3912,9979,16691,10031,4567,1842,77321
Sugarcane,Transitional,7.72,Sandy,West Bengal,287,Low,Moderate,Organic,Organic,Gypsum,30425,13101,31776,9264,23909,28803,18806,7728,6917,170729
Sugarcane,Summer,1.69,Peat,Maharashtra,338,Moderate,High,Chemical,Synthetic,"Phosphate, Bone Meal",6119,3314,8055,3380,5136,8568,5511,2030,908,43021
Rice,Transitional,3.34,Silt,Rajasthan,418,High,Moderate,Organic,Synthetic,"Vermicompost, Phosphate, Potash",10711,8079,15925,4008,12365,13961,11897,3460,2929,83335
Maize,Late Kharif,9.41,Peat,Madhya Pradesh,482,Moderate,High,Chemical,Synthetic,"NPK, Lime",33547,19874,37838,18820,27298,49892,36238,12299,6098,241904
Rice,Dry,4.5,Clay,Andhra Pradesh,535,High,Moderate,Chemical,Organic,"Ammonium Sulphate, Zinc Sulphate, Calcium Nitrate, Gypsum",15246,9324,19719,9000,16560,24075,10674,5620,2336,112554
Maize,Rabi,7.01,Peat,Kerala,590,High,Low,Organic,Organic,"Vermicompost, Urea",22053,10774,29056,8412,21065,49631,21801,8342,4732,175866
Wheat,Rainy,4.44,Peat,Chhattisgarh,310,Moderate,High,Organic,Synthetic,"Bone Meal, Vermicompost",12099,9786,16872,5328,11171,15140,16623,4871,3676,95566
Rice,Rabi,7.35,Clay,Kerala,555,High,High,Organic,Organic,"Urea, Phosphate, Ammonium Sulphate",25424,15722,26688,8820,21484,44872,17427,10496,4432,175365
Rice,Summer,8.58,Loam,Bihar,569,High,High,Chemical,Synthetic,"Potash, Vermicompost, Lime, Ammonium Sulphate",25002,15058,42351,17160,30819,63466,23003,8906,7825,233590
Soybean,Pre-Kharif,4.79,Peat,Punjab,318,Moderate,High,Organic,Organic,Potash,13776,10476,21119,5748,17675,15232,14490,4196,3492,106204
Soybean,Summer,1.64,Sandy,Uttar Pradesh,407,High,Low,Chemical,Organic,"Compost, Bio-fertilizers",5874,3411,6996,3280,4239,6675,5105,2345,1320,39245
Wheat,Dry,5.58,Loam,Karnataka,530,High,High,Chemical,Organic,"Bone Meal, Zinc Sulphate, Green Manure, Vermicompost",14793,10022,26561,11160,22314,29574,22303,8370,4107,149204
Sugarcane,Rabi,0.93,Loam,Punjab,456,Low,High,Chemical,Synthetic,"NPK, Zinc Sulphate",2584,2098,4164,1860,2518,5089,2755,929,829,22826
Rice,Autumn,2.26,Sandy,Chhattisgarh,260,Moderate,High,Chemical,Organic,"Bio-fertilizers, Calcium Nitrate, Vermicompost",7761,4769,8764,4520,7056,6464,7614,2545,1284,50777
Wheat,Rabi,5.31,Sandy,Haryana,488,High,High,Organic,Synthetic,"Zinc Sulphate, Calcium Nitrate, Lime, NPK",20704,11523,25233,6372,18282,31095,10843,4492,3510,132054
Rice,Rainy,5.05,Silt,Maharashtra,336,Moderate,High,Chemical,Synthetic,Compost,17468,9736,19195,10100,17458,18665,10580,4717,2581,110500
Wheat,Zaid,9.31,Silt,Andhra Pradesh,415,Moderate,Low,Organic,Synthetic,"NPK, Potash",24690,20408,41616,11172,28060,57955,27828,13714,6182,231625
Maize,Autumn,1.14,Clay,Gujarat,355,Moderate,Low,Chemical,Synthetic,"Phosphate, NPK, Green Manure, Bio-fertilizers",4387,2617,4196,2280,4117,5666,4123,1277,1109,29772
Rice,Summer,2.72,Clay,Uttar Pradesh,425,Low,High,Organic,Organic,Zinc Sulphate,10244,5535,13051,3264,9041,11560,5690,2576,2320,63281
