N,P,K,temperature,humidity,ph,rainfall,label,state,district,season,irrigation,water_availability,soil_type
72,20,15,27.91,31.35,5.66,201.18,millet,Rajasthan,Jodhpur,summer,sprinkler,low,mountain
14,18,154,18.08,56.23,7.5,135.43,chilli,Punjab,Jalandhar,monsoon,groundwater,high,desert
34,62,150,15.92,35.21,4.6,187.32,chilli,Bihar,Patna,monsoon,sprinkler,high,red
4,133,91,23.61,84.8,7.51,105.0,sunflower,Rajasthan,Jodhpur,monsoon,drip,low,alluvial
89,127,20,34.49,92.87,4.85,141.43,millet,Tamil Nadu,Madurai,monsoon,river,medium,alluvial
112,32,26,37.96,45.71,8.52,158.19,cotton,Maharashtra,Nashik,winter,drip,high,desert
47,7,9,25.23,33.78,7.88,174.75,chilli,Punjab,Jalandhar,winter,river,medium,saline
20,37,55,36.23,81.62,8.75,60.61,maize,Tamil Nadu,Chennai,winter,sprinkler,low,alluvial
102,27,124,25.51,55.84,5.02,256.38,cotton,Tamil Nadu,Coimbatore,summer,drip,high,desert
45,66,31,23.5,82.3,8.69,192.6,brinjal,Tamil Nadu,Coimbatore,monsoon,drip,medium,saline
132,29,110,19.75,79.15,9.45,68.8,tomato,Bihar,Patna,winter,rainfed,medium,desert
107,60,158,38.86,55.06,7.01,145.46,maize,Gujarat,Surat,summer,well,medium,red
96,38,109,35.51,80.08,6.51,192.38,brinjal,Bihar,Gaya,summer,drip,high,laterite
53,60,80,28.24,70.02,6.54,170.53,maize,Karnataka,Bengaluru,winter,well,medium,laterite
4,11,140,20.68,36.94,9.25,259.86,rice,Karnataka,Bengaluru,monsoon,groundwater,high,desert
127,44,184,16.02,32.65,6.36,247.99,millet,Gujarat,Rajkot,monsoon,groundwater,medium,saline
30,84,200,23.02,60.92,7.11,81.34,mustard,Tamil Nadu,Madurai,monsoon,well,medium,peaty
62,90,34,19.1,97.18,5.88,143.1,tomato,Andhra Pradesh,Vijayawada,winter,canal,high,mountain
129,115,192,32.45,69.49,4.89,206.04,sunflower,Bihar,Bhagalpur,monsoon,river,high,laterite
108,77,24,17.88,42.81,5.67,246.18,sugarcane,Gujarat,Ahmedabad,winter,well,medium,alluvial
36,41,71,34.48,34.24,6.87,204.66,maize,Uttar Pradesh,Lucknow,monsoon,rainfed,low,red
101,45,74,25.64,66.48,4.76,217.88,mustard,West Bengal,Darjeeling,summer,groundwater,high,red
57,102,107,18.89,31.49,9.12,121.0,groundnut,Gujarat,Ahmedabad,summer,river,low,mountain
121,103,28,35.79,48.12,7.02,99.49,tomato,Uttar Pradesh,Kanpur,summer,river,high,desert
